# reactions: 4
Time	S1	S2	S3	Fired Reaction
3.3356488938189636e-05	99358.0	320.0	0.0	 2
3.3421328180718675e-05	99356.0	321.0	0.0	 2
3.3455572993494846e-05	99354.0	322.0	0.0	 2
3.348223341394793e-05	99352.0	323.0	0.0	 2
3.349760634118537e-05	99350.0	324.0	0.0	 2
3.374345367661515e-05	99348.0	325.0	0.0	 2
3.378048390641236e-05	99346.0	326.0	0.0	 2
3.401861598735091e-05	99344.0	327.0	0.0	 2
3.4129962056060445e-05	99342.0	328.0	0.0	 2
3.414022104846104e-05	99340.0	329.0	0.0	 2
3.423504957238889e-05	99338.0	330.0	0.0	 2
3.44029581525884e-05	99336.0	331.0	0.0	 2
3.452429612957298e-05	99334.0	332.0	0.0	 2
3.4540275581883795e-05	99332.0	333.0	0.0	 2
3.455362901541514e-05	99330.0	334.0	0.0	 2
3.463099191969717e-05	99328.0	335.0	0.0	 2
3.492319023642362e-05	99326.0	336.0	0.0	 2
3.510425200044052e-05	99324.0	337.0	0.0	 2
3.5206060464021297e-05	99322.0	338.0	0.0	 2
3.5550308054348594e-05	99320.0	339.0	0.0	 2
3.558393502310782e-05	99318.0	340.0	0.0	 2
3.6049991214433835e-05	99316.0	341.0	0.0	 2
3.616723719014851e-05	99314.0	342.0	0.0	 2
3.617268033745095e-05	99312.0	343.0	0.0	 2
3.618242180143522e-05	99310.0	344.0	0.0	 2
3.6275617357118105e-05	99308.0	345.0	0.0	 2
3.632372184158658e-05	99306.0	346.0	0.0	 2
3.633008480820421e-05	99304.0	347.0	0.0	 2
3.658054762296545e-05	99302.0	348.0	0.0	 2
3.668324141772385e-05	99300.0	349.0	0.0	 2
3.695507608974925e-05	99298.0	350.0	0.0	 2
3.697090773795455e-05	99296.0	351.0	0.0	 2
3.698041280489414e-05	99294.0	352.0	0.0	 2
3.7056156173638534e-05	99292.0	353.0	0.0	 2
3.736279033696055e-05	99290.0	354.0	0.0	 2
3.7482824412968385e-05	99288.0	355.0	0.0	 2
3.7489190151891994e-05	99286.0	356.0	0.0	 2
3.752797774995738e-05	99284.0	357.0	0.0	 2
3.764273322159122e-05	99282.0	358.0	0.0	 2
3.769994997335373e-05	99280.0	359.0	0.0	 2
3.776019427169191e-05	99278.0	360.0	0.0	 2
3.779423922392776e-05	99276.0	361.0	0.0	 2
3.7826389940906435e-05	99274.0	362.0	0.0	 2
3.8283211270648246e-05	99272.0	363.0	0.0	 2
3.8527469356640765e-05	99270.0	364.0	0.0	 2
3.853758895275713e-05	99268.0	365.0	0.0	 2
3.860670508501672e-05	99266.0	366.0	0.0	 2
3.864273376174059e-05	99264.0	367.0	0.0	 2
3.871616588590034e-05	99262.0	368.0	0.0	 2
3.905515834505787e-05	99260.0	369.0	0.0	 2
3.917846468842476e-05	99258.0	370.0	0.0	 2
3.938206777437905e-05	99256.0	371.0	0.0	 2
3.9435062403993036e-05	99254.0	372.0	0.0	 2
3.9490542522077626e-05	99252.0	373.0	0.0	 2
3.9756672305759644e-05	99250.0	374.0	0.0	 2
4.013546517581492e-05	99248.0	375.0	0.0	 2
4.013819656001744e-05	99246.0	376.0	0.0	 2
4.0204711080016094e-05	99244.0	377.0	0.0	 2
4.035759909821132e-05	99242.0	378.0	0.0	 2
4.040646650529845e-05	99240.0	379.0	0.0	 2
4.042302693617035e-05	99238.0	380.0	0.0	 2
4.07120390600281e-05	99236.0	381.0	0.0	 2
4.072583354348816e-05	99234.0	382.0	0.0	 2
4.0845875877690945e-05	99232.0	383.0	0.0	 2
4.084890254591948e-05	99230.0	384.0	0.0	 2
4.086239323255956e-05	99228.0	385.0	0.0	 2
4.0948028997326826e-05	99226.0	386.0	0.0	 2
4.114564683848423e-05	99224.0	387.0	0.0	 2
4.123225507335266e-05	99222.0	388.0	0.0	 2
4.124924536502875e-05	99220.0	389.0	0.0	 2
4.1334553658161073e-05	99218.0	390.0	0.0	 2
4.1401914221235694e-05	99216.0	391.0	0.0	 2
4.1422263009154675e-05	99214.0	392.0	0.0	 2
4.147898886756677e-05	99212.0	393.0	0.0	 2
4.157211603825383e-05	99210.0	394.0	0.0	 2
4.1580300250501265e-05	99208.0	395.0	0.0	 2
4.1723080686970885e-05	99206.0	396.0	0.0	 2
4.175459651306751e-05	99204.0	397.0	0.0	 2
4.1825100423831496e-05	99202.0	398.0	0.0	 2
4.184801491569456e-05	99200.0	399.0	0.0	 2
4.184975741693861e-05	99198.0	400.0	0.0	 2
4.1889653219876314e-05	99196.0	401.0	0.0	 2
4.191121953755379e-05	99194.0	402.0	0.0	 2
4.191238987812725e-05	99192.0	403.0	0.0	 2
4.205570617395451e-05	99190.0	404.0	0.0	 2
4.205998675246376e-05	99188.0	405.0	0.0	 2
4.212834421478495e-05	99186.0	406.0	0.0	 2
4.2144249130592175e-05	99184.0	407.0	0.0	 2
4.218252568322573e-05	99182.0	408.0	0.0	 2
4.264510044984149e-05	99180.0	409.0	0.0	 2
4.284316263992378e-05	99178.0	410.0	0.0	 2
4.2844259680996235e-05	99176.0	411.0	0.0	 2
4.295238321930111e-05	99174.0	412.0	0.0	 2
4.296794426387534e-05	99172.0	413.0	0.0	 2
4.333895317945296e-05	99170.0	414.0	0.0	 2
4.335458528129219e-05	99168.0	415.0	0.0	 2
4.3366224629108294e-05	99166.0	416.0	0.0	 2
4.348582295940432e-05	99164.0	417.0	0.0	 2
4.3492120729584414e-05	99162.0	418.0	0.0	 2
4.3662700643010924e-05	99160.0	419.0	0.0	 2
4.383523935603199e-05	99158.0	420.0	0.0	 2
4.3852120641758064e-05	99156.0	421.0	0.0	 2
4.39870883867298e-05	99154.0	422.0	0.0	 2
4.4040621991733894e-05	99152.0	423.0	0.0	 2
4.4130326715619774e-05	99151.0	423.0	0.0	 1
4.413110314356422e-05	99149.0	424.0	0.0	 2
4.41375169924286e-05	99147.0	425.0	0.0	 2
4.443611786811576e-05	99145.0	426.0	0.0	 2
4.461006417184676e-05	99143.0	427.0	0.0	 2
4.471439791460925e-05	99141.0	428.0	0.0	 2
4.481906878880041e-05	99139.0	429.0	0.0	 2
4.524012566789807e-05	99137.0	430.0	0.0	 2
4.5263573611096945e-05	99135.0	431.0	0.0	 2
4.529767256525602e-05	99133.0	432.0	0.0	 2
4.534753349855723e-05	99131.0	433.0	0.0	 2
4.5427718495433814e-05	99129.0	434.0	0.0	 2
4.5437059559899275e-05	99127.0	435.0	0.0	 2
4.543819974510969e-05	99126.0	435.0	0.0	 1
4.5473304640905746e-05	99124.0	436.0	0.0	 2
4.5610010869953014e-05	99122.0	437.0	0.0	 2
4.563922255355838e-05	99120.0	438.0	0.0	 2
4.570198772884417e-05	99118.0	439.0	0.0	 2
4.5813800294726014e-05	99116.0	440.0	0.0	 2
4.592389430913051e-05	99114.0	441.0	0.0	 2
4.5976198647616336e-05	99112.0	442.0	0.0	 2
4.627789410044213e-05	99110.0	443.0	0.0	 2
4.634138128909103e-05	99108.0	444.0	0.0	 2
4.636657072828851e-05	99106.0	445.0	0.0	 2
4.642677664854139e-05	99104.0	446.0	0.0	 2
4.647496658581606e-05	99102.0	447.0	0.0	 2
4.65785277761359e-05	99100.0	448.0	0.0	 2
4.725006846817831e-05	99098.0	449.0	0.0	 2
4.732022130360963e-05	99096.0	450.0	0.0	 2
4.7337590647695085e-05	99094.0	451.0	0.0	 2
4.737553688331226e-05	99092.0	452.0	0.0	 2
4.752982566201896e-05	99090.0	453.0	0.0	 2
4.7618542514863576e-05	99088.0	454.0	0.0	 2
4.7652466218866576e-05	99086.0	455.0	0.0	 2
4.770483041642518e-05	99084.0	456.0	0.0	 2
4.77444376941366e-05	99082.0	457.0	0.0	 2
4.7862940533618575e-05	99080.0	458.0	0.0	 2
4.789703691770549e-05	99078.0	459.0	0.0	 2
4.827445871699303e-05	99076.0	460.0	0.0	 2
4.8319381419801514e-05	99074.0	461.0	0.0	 2
4.8554966609206105e-05	99072.0	462.0	0.0	 2
4.859199777443047e-05	99070.0	463.0	0.0	 2
4.860121533161631e-05	99068.0	464.0	0.0	 2
4.8602422612956e-05	99066.0	465.0	0.0	 2
4.8620810754000453e-05	99064.0	466.0	0.0	 2
4.9021465642871155e-05	99062.0	467.0	0.0	 2
4.9082677441636576e-05	99060.0	468.0	0.0	 2
4.937277826130514e-05	99058.0	469.0	0.0	 2
4.94829178385206e-05	99056.0	470.0	0.0	 2
4.952966881485848e-05	99054.0	471.0	0.0	 2
4.955976898113872e-05	99053.0	471.0	0.0	 1
4.965477546684483e-05	99051.0	472.0	0.0	 2
4.9681650794911634e-05	99049.0	473.0	0.0	 2
4.979167883794629e-05	99047.0	474.0	0.0	 2
4.9987032284139244e-05	99045.0	475.0	0.0	 2
5.008507223540365e-05	99043.0	476.0	0.0	 2
5.011211955293676e-05	99041.0	477.0	0.0	 2
5.021105762752604e-05	99039.0	478.0	0.0	 2
5.022155176436947e-05	99037.0	479.0	0.0	 2
5.0256334372324846e-05	99035.0	480.0	0.0	 2
5.025655794768684e-05	99033.0	481.0	0.0	 2
5.0291318768412386e-05	99031.0	482.0	0.0	 2
5.037683275393638e-05	99029.0	483.0	0.0	 2
5.039626929298984e-05	99027.0	484.0	0.0	 2
5.043454763699998e-05	99025.0	485.0	0.0	 2
5.0443113078755674e-05	99023.0	486.0	0.0	 2
5.0455125175183116e-05	99021.0	487.0	0.0	 2
5.0496598679768885e-05	99019.0	488.0	0.0	 2
5.057119489664987e-05	99017.0	489.0	0.0	 2
5.060868503057678e-05	99015.0	490.0	0.0	 2
5.0709414974274756e-05	99013.0	491.0	0.0	 2
5.088127723304069e-05	99011.0	492.0	0.0	 2
5.109249099055718e-05	99009.0	493.0	0.0	 2
5.1202688399565625e-05	99007.0	494.0	0.0	 2
5.127685421741447e-05	99005.0	495.0	0.0	 2
5.133205232415131e-05	99003.0	496.0	0.0	 2
5.133764765402642e-05	99001.0	497.0	0.0	 2
5.1383341585543426e-05	98999.0	498.0	0.0	 2
5.1535882402810834e-05	98997.0	499.0	0.0	 2
5.1595940925729573e-05	98995.0	500.0	0.0	 2
5.172991353080637e-05	98993.0	501.0	0.0	 2
5.1730399075065e-05	98991.0	502.0	0.0	 2
5.202958581589463e-05	98989.0	503.0	0.0	 2
5.204206822080739e-05	98987.0	504.0	0.0	 2
5.208606552260164e-05	98985.0	505.0	0.0	 2
5.210414957375295e-05	98983.0	506.0	0.0	 2
5.218461562729599e-05	98981.0	507.0	0.0	 2
5.229118178884134e-05	98979.0	508.0	0.0	 2
5.2433621683002154e-05	98977.0	509.0	0.0	 2
5.2708980351851494e-05	98975.0	510.0	0.0	 2
5.274279686469528e-05	98973.0	511.0	0.0	 2
5.280087741853727e-05	98971.0	512.0	0.0	 2
5.281834948426948e-05	98969.0	513.0	0.0	 2
5.28839523413663e-05	98967.0	514.0	0.0	 2
5.294391716055989e-05	98965.0	515.0	0.0	 2
5.315783020000938e-05	98963.0	516.0	0.0	 2
5.366320291455211e-05	98961.0	517.0	0.0	 2
5.378216762492763e-05	98959.0	518.0	0.0	 2
5.386229609529722e-05	98957.0	519.0	0.0	 2
5.4195778439108365e-05	98955.0	520.0	0.0	 2
5.431510927954797e-05	98953.0	521.0	0.0	 2
5.4410948668577995e-05	98951.0	522.0	0.0	 2
5.445081704249144e-05	98949.0	523.0	0.0	 2
5.4484111873410454e-05	98947.0	524.0	0.0	 2
5.450599115766612e-05	98945.0	525.0	0.0	 2
5.4512688081653256e-05	98943.0	526.0	0.0	 2
5.451847649123749e-05	98941.0	527.0	0.0	 2
5.452316692492039e-05	98939.0	528.0	0.0	 2
5.45299860607226e-05	98937.0	529.0	0.0	 2
5.4655424928152626e-05	98935.0	530.0	0.0	 2
5.467967410185727e-05	98933.0	531.0	0.0	 2
5.49900689447089e-05	98931.0	532.0	0.0	 2
5.513384851909678e-05	98929.0	533.0	0.0	 2
5.519865761779973e-05	98927.0	534.0	0.0	 2
5.522258300174527e-05	98925.0	535.0	0.0	 2
5.539276986554052e-05	98923.0	536.0	0.0	 2
5.563765541108953e-05	98921.0	537.0	0.0	 2
5.5647227163195824e-05	98919.0	538.0	0.0	 2
5.5767100089464884e-05	98917.0	539.0	0.0	 2
5.577866728918258e-05	98915.0	540.0	0.0	 2
5.6349563580915265e-05	98913.0	541.0	0.0	 2
5.635153538645705e-05	98911.0	542.0	0.0	 2
5.64430143030803e-05	98909.0	543.0	0.0	 2
5.646033387175822e-05	98907.0	544.0	0.0	 2
5.6510554281220835e-05	98905.0	545.0	0.0	 2
5.6567183834984205e-05	98903.0	546.0	0.0	 2
5.6756026980810906e-05	98901.0	547.0	0.0	 2
5.6855642234942e-05	98899.0	548.0	0.0	 2
5.7115918729185046e-05	98897.0	549.0	0.0	 2
5.749495012056053e-05	98895.0	550.0	0.0	 2
5.755085815822834e-05	98893.0	551.0	0.0	 2
5.7573362283953636e-05	98891.0	552.0	0.0	 2
5.766019410666397e-05	98889.0	553.0	0.0	 2
5.7668398532567276e-05	98887.0	554.0	0.0	 2
5.783159942762975e-05	98885.0	555.0	0.0	 2
5.7985006000914265e-05	98883.0	556.0	0.0	 2
5.79855464286647e-05	98881.0	557.0	0.0	 2
5.7986862029385065e-05	98879.0	558.0	0.0	 2
5.831237220342884e-05	98877.0	559.0	0.0	 2
5.851732829622841e-05	98875.0	560.0	0.0	 2
5.8690706265360535e-05	98873.0	561.0	0.0	 2
5.878979905548304e-05	98871.0	562.0	0.0	 2
5.885760032949483e-05	98869.0	563.0	0.0	 2
5.8892342162909705e-05	98867.0	564.0	0.0	 2
5.898385116888433e-05	98865.0	565.0	0.0	 2
5.900328963729756e-05	98863.0	566.0	0.0	 2
5.927488097841754e-05	98861.0	567.0	0.0	 2
5.966117539940793e-05	98859.0	568.0	0.0	 2
5.970738898930608e-05	98857.0	569.0	0.0	 2
5.9931795155585696e-05	98855.0	570.0	0.0	 2
6.0283218559526135e-05	98853.0	571.0	0.0	 2
6.0388137022549765e-05	98851.0	572.0	0.0	 2
